epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,reg_grad_norm,reg_coeff_grad_norm,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9584860083697092,85.43384752928743,0.04271692376464372,1.502,1.91,2641.6653718948364
1.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9037097283946279,71.59913150804057,0.03579956575402029,2.07,2.52,2354.0986638069153
2.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8892648349637571,60.42354869275448,0.03021177434637724,2.432,3.71,2156.1211581230164
3.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8703394981906237,51.99675210566487,0.025998376052832433,3.142,4.65,2013.2111110687256
4.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8295905788231384,45.42302407148769,0.022711512035743845,3.494,4.21,1917.1536526679993
5.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.792005011492678,40.53473840670734,0.02026736920335367,3.882,5.85,1853.1972060203552
6.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.7545158477390513,37.234844376090386,0.018617422188045192,4.482,6.12,1802.3658385276794
7.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.7174757369948775,35.1124674747,0.017556233737349998,4.744,7.37,1772.561348438263
8.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6883954049071388,33.88811089989776,0.01694405544994888,5.028,8.0,1748.7499208450317
9.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6701743438115815,33.3762677698412,0.0166881338849206,5.29,7.61,1732.718867778778
10.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6633168056492915,33.408046406476174,0.016704023203238088,5.806,9.05,1716.280131816864
11.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6603608788431757,33.813404120522584,0.01690670206026129,6.334,10.2,1705.6714496612549
12.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6599950526681397,34.50985140365846,0.01725492570182923,6.744,9.62,1692.401683807373
13.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.659836022750191,35.57063251420949,0.017785316257104746,7.164,10.34,1683.6727480888367
14.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6597937941551208,36.66398873231312,0.01833199436615656,7.85,9.66,1678.1185822486877
15.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3712394749721908,37.821561424344175,0.018910780712172087,8.16,11.55,1671.174545764923
16.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,39.0612142366517,0.01953060711832585,8.722,11.66,1669.0988626480103
17.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,40.18840925217388,0.02009420462608694,9.316,12.29,1667.742531299591
18.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,41.340008509413124,0.020670004254706564,9.522,12.27,1668.2823555469513
19.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,42.43059711749089,0.021215298558745446,9.732,14.82,1668.6929864883423
20.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3299238818228397,43.645421186275016,0.02182271059313751,10.266,13.6,1667.5835373401642
21.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3300328506990467,44.855755688198755,0.02242787784409938,10.786,13.83,1662.1599957942963
22.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3300281126633325,45.78164112327593,0.022890820561637968,11.386,16.77,1665.1185553073883
23.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3300738428407313,46.58949707598236,0.02329474853799118,11.682,15.59,1660.2213778495789
24.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.33033482955239923,47.38981690615533,0.023694908453077666,12.408,15.8,1657.6161885261536
25.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3302952808797207,48.10903586614696,0.02405451793307348,12.378,17.14,1661.51473736763
26.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3302913657234758,48.78897305336076,0.024394486526680383,12.516,16.57,1662.8521461486816
27.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.33036243244815056,49.37023168789573,0.024685115843947867,13.1,19.24,1659.8299024105072
28.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.3306314522957863,49.87437369734963,0.024937186848674818,13.164,19.35,1661.2859387397766
29.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.33063742533669144,50.32617297409234,0.02516308648704617,13.73,17.73,1658.7813539505005
30.0,0.08,risk,1.043776065187381,0.04119827358237923,1.0,1.162744402885437,1.043776065187381,0.04119827358237923,0.3308442366854919,51.283411588331205,0.025641705794165602,13.744,20.86,1661.243486404419
31.0,0.16,risk,1.0875946914448458,0.08243521015205042,1.0,1.1757820844650269,1.0875946914448458,0.08243521015205042,0.3307245581808602,52.24986194063044,0.026124930970315218,13.86,21.19,1663.7708151340485
32.0,0.24,risk,1.1312121287026369,0.12330169594653732,1.0,1.5309990644454956,1.1312121287026369,0.12330169594653732,0.3410826548743431,52.999925289461274,0.02649996264473064,14.152,20.22,1669.3624827861786
33.0,0.32,risk,1.1747839240466846,0.16436178829816298,1.0,1.570502758026123,1.1747839240466846,0.16436178829816298,0.33713942872898656,53.61679754236288,0.026808398771181442,14.2,21.42,1665.3701055049896
34.0,0.4,risk,1.2186491916246731,0.20569282179445866,1.0,1.8217694759368896,1.2186491916246731,0.20569282179445866,0.33619888938601367,54.320704008436486,0.027160352004218243,14.604,20.37,1663.789235830307
35.0,0.48,risk,1.2622156295630023,0.24657659754728722,1.0,1.9341782331466675,1.2622156295630023,0.24657659754728722,0.33639787301383056,55.002151169756814,0.02750107558487841,14.444,22.54,1671.3206791877747
36.0,0.56,risk,1.306282645906024,0.2881862462481574,1.0,2.3926148414611816,1.306282645906024,0.2881862462481574,0.3346819950796454,55.5573828350075,0.02777869141750375,14.952,21.55,1666.557525396347
