dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0,1,89.700000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.05,1,89.690000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.1,1,89.640000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.15,1,89.560000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.2,1,89.650000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.25,1,89.640000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.3,1,89.540000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.35,1,89.640000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.4,1,89.710000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.45,1,89.560000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.5,1,89.650000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.55,1,89.550000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.6,1,89.620000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.65,1,89.610000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.7,1,89.460000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.75,1,89.520000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.8,1,89.560000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.85,1,89.560000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.9,1,89.560000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,0.95,1,89.470000,0.000000
cifar10,raw_w_lambda,mne_raw_weight_lambda_trainable,mne_l2,0.0001,none,1,1,89.530000,0.000000
